Years,Area harvested,Production,Yield
Y1961,10000,4500,0.45
Y1962,15000,4500,0.3
Y1963,10500,4500,0.4286
Y1964,12000,5000,0.4167
Y1965,14000,6000,0.4286
Y1966,36000,15500,0.4306
Y1967,36000,15500,0.4306
Y1968,36000,15500,0.4306
Y1969,36000,15500,0.4306
Y1970,48000,22000,0.4583
Y1971,26000,13300,0.5115
Y1972,30000,17200,0.5733
Y1973,40000,23200,0.58
Y1974,40000,26500,0.6625
Y1975,57000,37300,0.6544
Y1976,45000,38800,0.8622
Y1977,75000,40600,0.5413
Y1978,75000,40000,0.5333
Y1979,80000,40600,0.5075
Y1980,83000,38400,0.4627
Y1981,90000,53000,0.5889
Y1982,90000,57100,0.6344
Y1983,98400,35600,0.3618
Y1984,92000,39700,0.4315
Y1985,109200,56700,0.5192
Y1986,81000,44500,0.5494
Y1987,104700,45300,0.4327
Y1988,109500,46000,0.4201
Y1989,110000,50040,0.4549
Y1990,100000,45000,0.45
Y1991,85000,35000,0.4118
Y1992,40000,15000,0.375
Y1993,70000,22000,0.3143
Y1994,72400,21720,0.3
Y1995,73000,25000,0.3425
Y1996,70000,23000,0.3286
Y1997,70000,24000,0.3429
Y1998,60000,21000,0.35
Y1999,55632,22000,0.3955
Y2000,54682,23000,0.4206
Y2001,56500,27600,0.4885
Y2002,60000,28400,0.4733
Y2003,63000,30000,0.4762
Y2004,62544,29028,0.4641
Y2005,61908,29012,0.4686
Y2006,62000,29777,0.4803
Y2007,58627,28673,0.4891
Y2008,52911,26344,0.4979
Y2009,52138,26419,0.5067
Y2010,51196,26393,0.5155
Y2011,50286,26367,0.5243
Y2012,49406,26341,0.5331
Y2013,48554,26314,0.542
Y2014,48496,26275,0.5418
Y2015,47699,25992,0.5449
Y2016,47133,25778,0.5469
Y2017,46809,25783,0.5508
Y2018,46489,25788,0.5547
